Infectious agent,Common name
Acinetobacter baumannii,Acinetobacter infections
"Actinomyces israelii, Actinomyces gerencseriae and Propionibacterium propionicus",Actinomycosis
Trypanosoma brucei,African sleeping sickness (African trypanosomiasis)
HIV (Human immunodeficiency virus),AIDS (acquired immunodeficiency syndrome)
Entamoeba histolytica,Amoebiasis
Anaplasma species,Anaplasmosis
Angiostrongylus,Angiostrongyliasis
Anisakis,Anisakiasis
Bacillus anthracis,Anthrax
Arcanobacterium haemolyticum,Arcanobacterium haemolyticum infection
Junin virus,Argentine hemorrhagic fever
Ascaris lumbricoides,Ascariasis
Aspergillus species,Aspergillosis
Astroviridae species,Astrovirus infection
Babesia species,Babesiosis
Bacillus cereus,Bacillus cereus infection
multiple bacteria,Bacterial meningitis
multiple bacteria,Bacterial pneumonia
List of bacterial vaginosis microbiota,Bacterial vaginosis
Bacteroides species,Bacteroides infection
Balantidium coli,Balantidiasis
Bartonella,Bartonellosis
Baylisascaris species,Baylisascaris infection
BK virus,BK virus infection
Piedraia hortae,Black piedra
Blastocystis species,Blastocystosis
Blastomyces dermatitidis,Blastomycosis
Machupo virus,Bolivian hemorrhagic fever
Clostridium botulinum; Note: Botulism is not an infection by Clostridium botulinum but caused by the intake of botulinum toxin.,Botulism (and Infant botulism)
Sabiá virus,Brazilian hemorrhagic fever
Brucella species,Brucellosis
Yersinia pestis,Bubonic plague
usually Burkholderia cepacia and other Burkholderia species,Burkholderia infection
Mycobacterium ulcerans,Buruli ulcer
Caliciviridae species,Calicivirus infection (Norovirus and Sapovirus)
Campylobacter species,Campylobacteriosis
usually Candida albicans and other Candida species,Candidiasis (Moniliasis; Thrush)
"Intestinal disease by Capillaria philippinensis, hepatic disease by Capillaria hepatica and pulmonary disease by Capillaria aerophila",Capillariasis
Bartonella bacilliformis,Carrion's disease
Bartonella henselae,Cat-scratch disease
usually Group A Streptococcus and Staphylococcus,Cellulitis
Trypanosoma cruzi,Chagas disease (American trypanosomiasis)
Haemophilus ducreyi,Chancroid
Varicella zoster virus (VZV),Chickenpox
Alphavirus,Chikungunya
Chlamydia trachomatis,Chlamydia
Chlamydophila pneumoniae,Chlamydophila pneumoniae infection (Taiwan acute respiratory agent or TWAR)
Vibrio cholerae,Cholera
usually Fonsecaea pedrosoi,Chromoblastomycosis
Batrachochytrium dendrabatidis,Chytridiomycosis
Clonorchis sinensis,Clonorchiasis
Clostridium difficile,Clostridium difficile colitis
Coccidioides immitis and Coccidioides posadasii,Coccidioidomycosis
Colorado tick fever virus (CTFV),Colorado tick fever (CTF)
