Company,Pharma Company Name,Penalty Amount,Subtraction From Penalty,Penalty Amount Adjusted For Eliminating Multiple Counting,Penalty Year,Penalty Date,Offense Group,Primary Offense,Secondary Offense,Description,Level of Government,Action Type,Agency,Civil/Criminal,Prosecution Agreement,Court,Case ID,Private Litigation Case Title,Lawsuit Resolution,Facility State,City,Address,Zip,NAICS Code,NAICS Translation,HQ Country of Parent,HQ State of Parent,Ownership Structure,Parent Company Stock Ticker,Major Industry of Parent,Specific Industry of Parent,Info Source,Notes
Abbott Laboratories,Abbott Laboratories,"$5,475,000 ",$0 ,"$5,475,000 ",2013,20131227,government-contracting-related offenses,False Claims Act and related,kickbacks and bribery,"Abbott Laboratories agreed to $5.475 million to resolve allegations that it violated the False Claims Act by paying kickbacks to induce doctors to implant the company's carotid, biliary and peripheral vascular products.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/abbott-laboratories-pays-us-5475-million-settle-claims-company-paid-kickbacks-physicians,
Abbott Laboratories Inc.,AbbVie,"$1,500,000,000 ",$0 ,"$1,500,000,000 ",2012,20120507,healthcare-related offenses,off-label or unapproved promotion of medical products,,Global Health Care Company Abbott Laboratories Inc. has pleaded guilty and agreed to pay $1.5 billion to resolve its criminal and civil liability arising from the company's unlawful promotion of the prescription drug Depakote for uses not approved as safe and effective by the Food and Drug Administration. The resolution - the second largest payment by a drug company - includes a criminal fine and forfeiture totaling $700 million and civil settlements with the federal government and the states totaling $800 million. Abbott also will be subject to court-supervised probation and reporting obligations for Abbotts CEO and Board of Directors.,federal,agency action,Food and Drug Administration referral to the Justice Department,civil and criminal,,,,,,,,,,,,USA,Illinois,publicly traded,ABBV,pharmaceuticals,pharmaceuticals,http://www.justice.gov/opa/pr/abbott-labs-pay-15-billion-resolve-criminal-civil-investigations-label-promotion-depakote,
Abbott Laboratories Inc.,AbbVie,"$126,500,000 ",$0 ,"$126,500,000 ",2010,20101207,government-contracting-related offenses,False Claims Act and related,,"Abbott Laboratories Inc., B. Braun Medical Inc. and Roxane Laboratories Inc. n/k/a Boehringer Ingelheim Roxane Inc. and affiliated entities agreed to pay $421 million to settle False Claims Act allegations, that they engaged in a scheme to report false and inflated prices for numerous pharmaceutical products knowing that federal healthcare programs relied on those reported prices to set payment rates.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,Illinois,publicly traded,ABBV,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/pharmaceutical-manufacturers-pay-4212-million-settle-false-claims-act-cases,
"Abbott Laboratories Puerto Rico, Inc.",Abbott Laboratories,"$49,045 ",$0 ,"$49,045 ",2009,20090305,employment-related offenses,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,civil,,,1527129,,,Puerto Rico,San Juan,,,423450,"423450: Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,"March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
Acclarent Inc.,Johnson & Johnson,"$18,000,000 ",$0 ,"$18,000,000 ",2016,20160722,government-contracting-related offenses,False Claims Act and related,,"California-based medical device manufacturer Acclarent Inc., a subsidiary of Johnson & Johnson, agreed to pay $18 million to resolve allegations that the company caused health care providers to submit false claims to Medicare and other federal health care programs by marketing and distributing its sinus spacer product for use as a drug delivery device without Food and Drug Administration approval.",federal,agency action,Justice Department Civil Division,civil,,,,,,,,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,https://www.justice.gov/opa/pr/johnson-johnson-subsidiary-acclarent-inc-pays-government-18-million-settle-false-claims-act,
Advanced Medical Optics,Abbott Laboratories,"$16,800 ",$0 ,"$16,800 ",2004,20040412,employment-related offenses,labor relations violation,,back pay award in unfair labor practices case,federal,agency action,National Labor Relations Board,civil,,,21-CA-36104-001,,,California,Irvine,,92606,333314,333314: Optical Instrument and Lens Manufacturing,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml,
"Advanced Neuromodulation Systems, Inc.",Abbott Laboratories,"$2,950,000 ",$0 ,"$2,950,000 ",2007,20070702,healthcare-related offenses,HHS civil monetary penalties,kickbacks and bribery,"The HHS Inspector General announced that Advanced Neuromodulation Systems, Inc.,  a medical device manufacturer specializing in spinal cord stimulation used for pain management, agreed to pay $2.95 million to settle allegations that it paid kickbacks to physicians in violation of the Civil Monetary Penalties Law (CMPL). The company also entered into a 3-year Corporate Integrity Agreement.",federal,agency action,Health & Human Services Department Office of Inspector General,civil,,,,,,,,,,,,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,https://oig.hhs.gov/publications/docs/press/2007/ANS%20Press%20Release.pdf,
Advanced Sterilization Products,Johnson & Johnson,"$136,800 ",$0 ,"$136,800 ",2014,20140520,environment-related offenses,environmental violation,,"The U.S. Environmental Protection Agency announced that an Irvine, Calif. company, Advanced Sterilization Products, has agreed to pay a $136,800 penalty for the sale and distribution of unregistered and misbranded pesticides to veterinary clinics and laboratories nationwide.",federal,agency action,Environmental Protection Agency,civil,,,,,,California,Irvine,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,https://archive.epa.gov/epapages/newsroom_archive/newsreleases/8e820317c86e4c5685257cde00717855.html,
"Advanced Sterilization Products, a division of Ethicon Inc.",Johnson & Johnson,"$1,200,000 ",$0 ,"$1,200,000 ",2013,20131204,safety-related offenses,drug or medical equipment safety violation,,"Settlement of a civil money penalty action against Advanced Sterilization Products, a division of Ethicon Inc., a Johnson & Johnson company, and two of ASP's executives alleging that ASP manufactured and distributed adulterated and misbranded sterilization monitoring products.",federal,agency action,Food and Drug Administration,civil,,,,,,California,Irvine,,,,,USA,New Jersey,publicly traded,JNJ,pharmaceuticals,pharmaceuticals,http://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm377588.htm,
Alere San Diego Inc.,Abbott Laboratories,"$10,572 ",$0 ,"$10,572 ",2017,20170309,employment-related offenses,wage and hour violation,Fair Labor Standards Act,,federal,agency action,Labor Department Wage and Hour Division,civil,,,1813371,,,California,Pomona,828 Towne Center Dr.,91767,,,USA,Illinois,publicly traded,ABT,pharmaceuticals,pharmaceuticals,"July 23, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
